key,stock_id,T+n,date,close,
20211119-6446,6446,-18,2021/10/26,95.31,0.21%
20211119-6446,6446,-17,2021/10/27,95.7,0.41%
20211119-6446,6446,-16,2021/10/28,95.11,-0.62%
20211119-6446,6446,-15,2021/10/29,95.6,0.52%
20211119-6446,6446,-14,2021/11/1,96.39,0.83%
20211119-6446,6446,-13,2021/11/2,95.31,-1.12%
20211119-6446,6446,-12,2021/11/3,95.5,0.20%
20211119-6446,6446,-11,2021/11/4,88.62,-7.20%
20211119-6446,6446,-10,2021/11/5,93.34,5.33%
20211119-6446,6446,-9,2021/11/8,96.39,3.27%
20211119-6446,6446,-8,2021/11/9,97.47,1.12%
20211119-6446,6446,-7,2021/11/10,99.34,1.92%
20211119-6446,6446,-6,2021/11/11,100.32,0.99%
20211119-6446,6446,-5,2021/11/12,106.23,5.89%
20211119-6446,6446,-4,2021/11/15,116.55,9.71%
20211119-6446,6446,-3,2021/11/16,127.86,9.70%
20211119-6446,6446,-2,2021/11/17,140.65,10.00%
20211119-6446,6446,-1,2021/11/18,154.42,9.79%
20211119-6446,6446,1,2021/11/22,178.03,
20211119-6446,6446,2,2021/11/23,179.01,
20211119-6446,6446,3,2021/11/24,186.88,
20211119-6446,6446,4,2021/11/25,191.8,
20211119-6446,6446,5,2021/11/26,191.8,
20211119-6446,6446,6,2021/11/29,201.63,
20211119-6446,6446,7,2021/11/30,221.79,
20211119-6446,6446,8,2021/12/1,232.61,
