industry_category,stock_id,stock_name,type,date
化學生技醫療,1704,榮化,twse,2025-03-13
生技醫療業,1707,葡萄王,twse,2025-07-16
化學生技醫療,1708,東鹼,twse,2025-07-16
化學生技醫療,1709,和益,twse,2025-07-16
化學生技醫療,1710,東聯,twse,2025-07-16
化學生技醫療,1711,永光,twse,2025-07-16
化學工業,1712,興農,twse,2025-07-16
化學生技醫療,1713,國化,twse,2025-07-16
化學生技醫療,1714,和桐,twse,2025-07-16
塑膠工業,1715,萬洲,twse,2024-12-03
生技醫療業,1716,永信,twse,2025-04-30
化學生技醫療,1717,長興,twse,2025-07-16
化學生技醫療,1718,中纖,twse,2025-07-16
化學生技醫療,1720,生達,twse,2025-07-16
化學工業,1721,三晃,twse,2025-07-16
化學工業,1722,台肥,twse,2025-07-16
化學生技醫療,1723,中碳,twse,2025-07-16
化學生技醫療,1724,台硝,twse,2025-03-13
化學生技醫療,1725,元禎,twse,2025-07-16
化學生技醫療,1726,永記,twse,2025-07-16
化學生技醫療,1727,中華化,twse,2025-07-16
生技醫療業,1729,必翔,twse,2025-04-30
化學生技醫療,1730,花仙子,twse,2025-07-16
化學生技醫療,1731,美吾華,twse,2025-07-16
化學生技醫療,1732,毛寶,twse,2025-07-16
生技醫療業,1733,五鼎,twse,2025-07-16
生技醫療業,1734,杏輝,twse,2025-07-16
化學生技醫療,1735,日勝化,twse,2025-07-16
運動休閒,1736,喬山,twse,2025-07-16
食品工業,1737,臺鹽,twse,2025-07-16
化學工業,1742,台蠟,tpex,2025-07-16
生技醫療業,1752,南光,twse,2025-07-16
生技醫療業,1760,寶齡富錦,twse,2025-07-16
生技醫療業,1762,中化生,twse,2025-07-16
化學生技醫療,1773,勝一,twse,2025-07-16
化學生技醫療,1776,展宇,twse,2025-07-16
生技醫療業,1777,生泰,tpex,2025-07-16
生技醫療業,1781,合世,tpex,2025-07-16
化學生技醫療,1783,和康生,twse,2025-07-16
生技醫療業,1784,訊聯,tpex,2025-07-16
其他電子類,1785,光洋科,tpex,2025-07-16
化學生技醫療,1786,科妍,twse,2025-07-16
生技醫療業,1788,杏昌,tpex,2025-07-16
化學生技醫療,1789,神隆,twse,2025-07-16
生技醫療業,1795,美時,twse,2025-07-16
食品工業,1796,金穎生技,tpex,2025-07-16
生技醫療業,1799,易威,tpex,2025-07-16
玻璃陶瓷,1802,台玻,twse,2025-07-16
建材營造,1805,寶徠,twse,2025-07-16
玻璃陶瓷,1806,冠軍,twse,2025-07-16
建材營造,1808,潤隆,twse,2025-07-16
玻璃陶瓷,1809,中釉,twse,2025-07-16
玻璃陶瓷,1810,和成,twse,2025-07-16
生技醫療業,1813,寶利徠,tpex,2025-07-16
電子零組件業,1815,富喬,tpex,2025-07-16
玻璃陶瓷,1817,凱撒衛,twse,2025-07-16
造紙工業,1902,台紙,twse,2025-03-21
造紙工業,1903,士紙,twse,2025-07-16
造紙工業,1904,正隆,twse,2025-07-16
造紙工業,1905,華紙,twse,2025-07-16
造紙工業,1906,寶隆,twse,2025-07-16
造紙工業,1907,永豐餘,twse,2025-07-16
造紙工業,1909,榮成,twse,2025-07-16
鋼鐵工業,2002,中鋼,twse,2025-07-16
鋼鐵工業,2002A,中鋼特,twse,2025-07-16
鋼鐵工業,2006,東和鋼鐵,twse,2025-07-16
鋼鐵工業,2007,燁興,twse,2025-07-16
鋼鐵工業,2008,高興昌,twse,2025-07-16
鋼鐵工業,2009,第一銅,twse,2025-07-16
鋼鐵工業,2010,春源,twse,2025-07-16
鋼鐵工業,2012,春雨,twse,2025-07-16
鋼鐵工業,2013,中鋼構,twse,2025-07-16
鋼鐵工業,2014,中鴻,twse,2025-07-16
鋼鐵工業,2015,豐興,twse,2025-07-16
鋼鐵工業,2017,官田鋼,twse,2025-07-16
鋼鐵工業,2020,美亞,twse,2025-07-16
鋼鐵工業,2022,聚亨,twse,2025-07-16
鋼鐵工業,2023,燁輝,twse,2025-07-16
鋼鐵工業,2024,志聯,twse,2025-07-16
鋼鐵工業,2025,千興,twse,2025-07-16
鋼鐵工業,2027,大成鋼,twse,2025-07-16
鋼鐵工業,2028,威致,twse,2025-07-16
鋼鐵工業,2029,盛餘,twse,2025-07-16
鋼鐵工業,2030,彰源,twse,2025-07-16
鋼鐵工業,2031,新光鋼,twse,2025-07-16
鋼鐵工業,2032,新鋼,twse,2025-07-16
鋼鐵工業,2033,佳大,twse,2025-07-16
鋼鐵工業,2034,允強,twse,2025-07-16
鋼鐵工業,2035,唐榮,tpex,2025-07-16
鋼鐵工業,2038,海光,twse,2025-07-16
電機機械,2049,上銀,twse,2025-07-16
電子工業,2059,川湖,twse,2025-07-16
電器電纜,2061,風青,tpex,2025-07-16
居家生活,2062,橋椿,twse,2025-07-16
鋼鐵工業,2063,世鎧,tpex,2025-07-16
鋼鐵工業,2064,晉椿,tpex,2025-07-16
鋼鐵工業,2065,世豐,tpex,2025-07-16
